run_name,SA,SA_init,SA_update_factor,activations,elapsed_time_s,final_loss,fourier_features,initialization,iterations_per_sec,l2_relative_error,lr,lr_decay,mean_pde_residual,mlp_type,n_domain,n_fourier_features,n_hidden,n_iter,net_type,num_domain,pde_coefficient,rank,seed,sigma
neat-sweep-20,True,constant,-1,tanh,168.09715104103088,0.0005913081113249063,True,Glorot normal,475.9152639087427,0.002226936757763723,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0013974830508232117,mlp,40000,64,3,80000,SPINN,22500,0.001,32,3,10
rural-sweep-21,True,constant,-1,tanh,163.6306188106537,0.0011224084300920367,True,Glorot normal,488.90605304483114,0.001642909852815499,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0017970342887565494,mlp,40000,64,3,80000,SPINN,22500,0.001,64,0,10
zesty-sweep-22,True,constant,-1,tanh,174.78616094589233,0.00036692433059215546,True,Glorot normal,457.70214053025165,0.0015718030945890914,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.001255245297215879,mlp,40000,64,3,80000,SPINN,22500,0.001,64,1,10
still-sweep-23,True,constant,-1,tanh,219.432856798172,0.0010356116108596325,True,Glorot normal,364.5762132768553,0.0024428201218075363,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0017005766276270151,mlp,40000,64,3,80000,SPINN,22500,0.001,64,2,10
summer-sweep-24,True,constant,-1,tanh,185.35168957710263,0.0008306768140755594,True,Glorot normal,431.6119274797415,0.0036673842328337983,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.001639964641071856,mlp,40000,64,3,80000,SPINN,22500,0.001,64,3,10
devout-sweep-25,True,constant,-1,tanh,165.51767539978027,0.0007530892617069185,True,Glorot normal,483.3320659366039,0.003097908995054054,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0016629666788503528,mlp,40000,128,3,80000,SPINN,22500,0.001,32,0,10
major-sweep-26,True,constant,-1,tanh,167.43950986862183,0.00043402050505392253,True,Glorot normal,477.7844850523658,0.00166089844568737,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.001446358859539032,mlp,40000,128,3,80000,SPINN,22500,0.001,32,1,10
stoic-sweep-27,True,constant,-1,tanh,176.40935373306274,0.0004274075909052044,True,Glorot normal,453.4906925686807,0.0013883051309556075,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0012313101906329391,mlp,40000,128,3,80000,SPINN,22500,0.001,32,2,10
fast-sweep-28,True,constant,-1,tanh,203.11906576156616,0.0007579289958812296,True,Glorot normal,393.8576602843821,0.0019899089343834724,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.001470367657020688,mlp,40000,128,3,80000,SPINN,22500,0.001,32,3,10
hearty-sweep-29,True,constant,-1,tanh,178.0813491344452,0.0005852027679793537,True,Glorot normal,449.23289490356905,0.0023873729427911655,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0016837288858368993,mlp,40000,128,3,80000,SPINN,22500,0.001,64,0,10
bumbling-sweep-30,True,constant,-1,tanh,173.11884808540344,0.00040252567850984633,True,Glorot normal,462.1102836851952,0.0017690365415935494,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0012805922888219357,mlp,40000,128,3,80000,SPINN,22500,0.001,64,1,10
happy-sweep-31,True,constant,-1,tanh,283.3012626171112,0.00042965461034327745,True,Glorot normal,282.38490453931377,0.0011170096368928546,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0012671354925259948,mlp,40000,128,3,80000,SPINN,22500,0.001,64,2,10
amber-sweep-32,True,constant,-1,tanh,212.3316433429718,0.0007826236542314291,True,Glorot normal,376.7690898090909,0.002537601355737581,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0018412519712001083,mlp,40000,128,3,80000,SPINN,22500,0.001,64,3,10
blooming-sweep-33,True,constant,-1,tanh,395.24166536331177,0.00028447972727008164,True,Glorot normal,202.4078102354489,0.0006535065982810986,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0016262884018942714,modified-mlp,22500,64,3,80000,SPINN,22500,0.001,32,0,10
fancy-sweep-34,True,constant,-1,tanh,263.20120573043823,0.00019401653844397515,True,Glorot normal,303.9499753733396,0.0008793525635429768,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0013900460908189416,modified-mlp,22500,64,3,80000,SPINN,22500,0.001,32,1,10
ethereal-sweep-35,True,constant,-1,tanh,259.03813076019287,0.00037721244734711945,True,Glorot normal,308.8348412846632,0.0002568614405859369,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0013648283202201128,modified-mlp,22500,64,3,80000,SPINN,22500,0.001,32,2,10
hopeful-sweep-36,True,constant,-1,tanh,245.37009477615356,0.0001299409486819059,True,Glorot normal,326.03810204736834,0.0003625575966639654,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0009883969323709607,modified-mlp,22500,64,3,80000,SPINN,22500,0.001,32,3,10
treasured-sweep-37,True,constant,-1,tanh,242.0200490951538,0.00018643999646883455,True,Glorot normal,330.55112706198486,0.0016617968041506264,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0020710178650915623,modified-mlp,22500,64,3,80000,SPINN,22500,0.001,64,0,10
misunderstood-sweep-38,True,constant,-1,tanh,255.4498872756958,0.0001387635275023058,True,Glorot normal,313.1729704529465,0.000960187232653786,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0014999716076999905,modified-mlp,22500,64,3,80000,SPINN,22500,0.001,64,1,10
elated-sweep-39,True,constant,-1,tanh,222.65053749084473,0.00018767772417049855,True,Glorot normal,359.3074640715366,0.0005566788298951087,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0013168036239221692,modified-mlp,22500,64,3,80000,SPINN,22500,0.001,64,2,10
zesty-sweep-40,True,constant,-1,tanh,252.60342741012573,9.726135613163932e-05,True,Glorot normal,316.7019577692126,0.0007616582329326914,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.001433473196811974,modified-mlp,22500,64,3,80000,SPINN,22500,0.001,64,3,10
cosmic-sweep-41,True,constant,-1,tanh,237.6500723361969,0.0002224399213446304,True,Glorot normal,336.6293946960228,0.002118091483809298,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0021211227867752314,modified-mlp,22500,128,3,80000,SPINN,22500,0.001,32,0,10
distinctive-sweep-42,True,constant,-1,tanh,215.37977242469788,0.00013396069698501378,True,Glorot normal,371.4369232513234,0.0006906318250577931,1e-05,"['warmup cosine', 0.001, 1000, 80000, 1e-05]",0.0014581670984625816,modified-mlp,22500,128,3,80000,SPINN,22500,0.001,32,1,10
